,Book Title,Word Count,Sentence Count,AVG Word Length,AVG Sentence Length,Total Syllables,MONOSYLL,POLYSYLL,NTR,VTR,TTR,Root TTR,Corrected TTR,BiLog TTR,LD,FWTR,MIN,MAX
41,Kilusang Propaganda - 1,709,41,5.534555712270804,17.29268292682927,1656,243,458,0.18961038961038962,0.1012987012987013,0.014285714285714285,0.3964124835860459,0.2803059552906941,0.3607815802339004,0.35714285714285715,0.06623376623376623,6,10
42,Lu-Sung May-i at Sulu 1,755,41,5.156291390728477,18.414634146341463,1654,263,490,0.22195416164053075,0.097708082026538,0.013268998793727383,0.38204579140595335,0.2701471698269308,0.35681796391238835,0.4101326899879373,0.020506634499396863,6,10
43,Mag-Ehersisyo Tayo,88,15,5.818181818181818,5.866666666666666,207,16,74,0.07801418439716312,0.12056737588652482,0.07092198581560284,0.8421519210665189,0.5954913341754137,0.4652852722701181,0.3049645390070922,0.014184397163120567,3,10
44,Mga Hiyas ng Kalayaan,713,44,5.252454417952314,16.204545454545453,1594,250,457,0.2071156289707751,0.11054637865311309,0.01397712833545108,0.3921076531897355,0.2772619805256049,0.35960005918625726,0.39390088945362134,0.04955527318932656,6,10
45,Mga Isdang Espada,554,36,5.157039711191335,15.38888888888889,1207,191,361,0.20512820512820512,0.1346153846153846,0.017628205128205128,0.44035242296398963,0.3113761843897638,0.3725666952380212,0.4150641025641026,0.020833333333333332,3,10
46,Munting Ningas-Apoy,522,44,5.342911877394636,11.863636363636363,1113,174,345,0.18284789644012944,0.11650485436893204,0.016181229773462782,0.40225899335456483,0.2844400619942871,0.3582959976100144,0.4077669902912621,0.019417475728155338,11,16
47,Munting Sinag-araw,287,33,5.083623693379791,8.696969696969697,583,90,190,0.19461077844311378,0.1407185628742515,0.029940119760479042,0.5471756551645828,0.38691161626706844,0.39623631499854023,0.3772455089820359,0.005988023952095809,4,7
48,Pitong Puting Aso Sa Tabi ng Poso,179,22,4.726256983240224,8.136363636363637,332,55,124,0.2561576354679803,0.08374384236453201,0.04926108374384237,0.7018624063435964,0.4962916669854651,0.43337019157109863,0.3891625615763547,0.0049261083743842365,3,8
49,Planetang Asul,586,79,5.237201365187714,7.430379746835443,1275,162,426,0.17158931082981715,0.12517580872011252,0.014064697609001406,0.37502930030867465,0.26518576139190997,0.3506471683502323,0.3924050632911392,0.012658227848101266,7,8
50,Plaridel 1,722,58,5.166204986149585,12.448275862068966,1555,244,471,0.19533169533169534,0.13267813267813267,0.013513513513513514,0.3855498004780299,0.2726248784031353,0.35779013032699003,0.4103194103194103,0.036855036855036855,6,10
51,Si Lupito at ang Barrio Sirkero,1345,116,5.095910780669145,11.629310344827585,2896,495,854,0.19440832249674903,0.13263979193758127,0.007152145643693108,0.28048814962601215,0.1983350726430202,0.32676716451031756,0.40767230169050717,0.01235370611183355,8,16
52,Si Ponyang at ang Lihim ng Kuweba,955,76,5.210471204188481,12.592105263157896,2089,335,623,0.14454545454545453,0.14,0.01,0.33166247903553997,0.23452078799117146,0.34240651996045945,0.4163636363636364,0.0027272727272727275,8,12
53,Tahan na Tahanan,535,56,5.310280373831776,9.625,1177,187,356,0.13149847094801223,0.13149847094801223,0.016819571865443424,0.4301340378531763,0.3041506949851321,0.36986820405795057,0.37767584097859325,0.0061162079510703364,6,12
